ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,DURATION_MS,WR_CORE_VALID,DIRECT_VALID,TRANSPORT_FAILURE,ROLE_IDENTITY_VALID,STATUS_RAW,STATUS_VALID,WDIAGS_CTRL_RAW,WDIAGS_CTRL_VALID,WDIAGS_CTRL_DATA_VALID,WDIAGS_CTRL_DATA_SNAPSHOT,WDIAGS_CTRL_ADDR,SSTAT_RAW,PTP_META_RAW,WR_FAILURE_RAW,WR_STATE_RAW,PSTAT_RAW,LOCK_RESULT_RAW,SPLL_STATE_RAW,ENTRY_PROBE_RAW,RESET_PROBE_RAW,RESET_PROBE_SOURCE,SI_CONFIG_DONE,WR_READY,CORE_TM_LINK_UP,CORE_LINK_OK,WR_RX_READY,WR_TX_READY,CPU_RESET_N,PHY_STATUS_PROBE0_RAW,PHY_STATUS_VALID,PHY_STATUS_SOURCE,PHY_STATUS_SOURCE_ID,PHY_STATUS_INSTANCE,PHY_STATUS_WIDTH_BITS,PHY_GATE_REQUIRED_MASK,PHY_GATE_FAILURE_BITS,PHY_RX_LOCKED_TO_DATA,PHY_RX_LOCKED_TO_REF,WR_CORE_DATA_VALID,PHY_LINK_USABLE,PTP_STATE,PD_STATE,EXT_STATE,WRC_MODE,CURRENT_WR_STATE,WR_NEXT_STATE,PSTAT_ADDR,PSTAT_LINK,PSTAT_LOCKED,SPLL_DELOCK_COUNT,BOOT_GENERATION,CPU_RESET_COUNT,WR_CORE_RESET_COUNT,SI_CONFIG_DROP_COUNT,RESET_FIELDS_VALID,RESET_CHANGED,TERMINAL,TERMINAL_STREAK,WR_FAILURE_REASON,WR_DISABLE_VALID,STOP_REASON
SLAVE,DE5 [1-11.2],17,1789542308727,1789542308817,90,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,1710DC6135BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],5,1789542308937,1789542309025,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,0,2010306,0,A0219864,1,0,20004,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,F11042C3255082FF,1,JTAG_PROBE0,WR_SYNC_MASTER,0,64,000000CF,NONE,1,1,1,1,6,3,1,2,3,3,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],18,1789542309637,1789542309725,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,9910DC6335BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,1,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],19,1789542310838,1789542310926,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,C410DC41255082EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],20,1789542311635,1789542311723,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,C910DCE135BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],21,1789542312827,1789542312916,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,D210DCE135BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],6,1789542313021,1789542313109,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,0,2010306,0,A0219864,1,0,20004,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,71104243255082FF,1,JTAG_PROBE0,WR_SYNC_MASTER,0,64,000000CF,NONE,1,1,1,1,6,3,1,2,3,3,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],22,1789542313723,1789542313811,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,8110DCE135BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],23,1789542314537,1789542314627,90,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,6E10DCE135BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],24,1789542315355,1789542315444,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,9710DC6135BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],25,1789542316618,1789542316707,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,B710DC6135BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
